"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"5017","TRIMET INCIDENT - PRIORITY","TriMet","Dispatched",25,"25-34","1","0",579188,147137077,"0","Hispanic","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Other Agency",146557889,"August","1200-1759",2021,866330,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5018","DISTURBANCE - PRIORITY","Disturbance","Dispatched",25,"25-34","0","0",296127,972842934,"0","Black","Male","Yes","Takedown (IV)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",972546807,"April","1200-1759",2020,228170,"North Precinct","North Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5019","VICE-DRUGS, LIQUOR, PROSTITUTION, GAMBLING","Vice","Self-Initiated",25,"25-34","0","0",2009519,40551997,"0","White","Male",NA,"Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Cite and Release",38542478,"January","1800-2359",2019,892030,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5020","ECIT","Behavioral Health","Dispatched",25,"25-34","1","1",4024806,708561470,"1","Hispanic","Female","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Release to Medical",704536664,"March","1800-2359",2019,504690,"Central Precinct","Central Precinct",13,"(10-15]","Active","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5021","TRIMET INCIDENT - PRIORITY","TriMet","Dispatched",25,"25-34","1","1",574758,192112037,"0","White","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Warrant",191537279,"May","0600-1159",2019,748120,"Transit (PPB Only)","Transit",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"5022","PERSON CONTACT (86)","Subject Stop","Self-Initiated",25,"25-34","0","0",473340,379010731,"0","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",378537391,"May","0000-0559",2019,552100,"TOD","TOD",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5023","ASSIST - CITIZEN OR AGENCY","Assist","Dispatched",25,"25-34","0","0",497663,279054313,"1","White","Female","No","Resisted HC","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Release to Medical",278556650,"April","1200-1759",2021,472290,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"5024","TRIMET INCIDENT - PRIORITY","TriMet","Dispatched",25,"25-34","0","0",600415,471139917,"0","White","Male","Yes","Resisted HC","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Wednesday","Arrest-Misdemeanor",470539502,"November","0600-1159",2019,748120,"Transit (PPB Only)","Transit",13,"(10-15]","Active","Active","Active",NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"5025","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",26,"25-34","1","0",558311,791115636,"1","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Thursday","Arrest-Felony",790557325,"June","1800-2359",2021,593300,"North Precinct","North Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5026","ASSAULT - PRIORITY","Assault","Dispatched",26,"25-34","0","0",500437,426047459,"0","Black","Male","No","Aerosol rest.",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Misdemeanor",425547022,"April","0600-1159",2020,950240,"East Precinct","East Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5027","DISTURBANCE - PRIORITY","Disturbance","Dispatched",26,"25-34","0","1",3883647,490422609,"0","Hispanic","Male","No","Control Against Resistance","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Arrest-Warrant",486538962,"September","1800-2359",2019,555100,"North Precinct","North Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5028","SHOTS FIRED","Shots Fired","Dispatched",26,"25-34","0","0",308111,929864218,"0","White","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Felony",929556107,"February","1800-2359",2021,593300,"North Precinct","North Precinct",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5029","VEHICLE STOLEN - PRIORITY","Stolen Vehicle","Dispatched",26,"25-34","0","0",628376,316176777,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",315548401,"September","0600-1159",2020,950240,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5030","FOOT PURSUIT *H","Escape/Pursuit","Self-Initiated",27,"25-34","0","0",703211,293252541,"0","White","Male","Yes","CEW","PFA",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"II","3","Thursday","Arrest-Warrant",292549330,"December","0000-0559",2020,948240,"North Precinct","North Precinct",13,"(10-15]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1
"5031","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",27,"25-34","0","0",489448,471036160,"0","White","Female","No","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Monday","Arrest-Felony",470546712,"March","0000-0559",2020,808220,"North Precinct","North Precinct",13,"(10-15]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5032","FIRE RELATED","Assist","Dispatched",27,"25-34","1","0",487969,276044349,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Cite and Release",275556380,"March","0000-0559",2021,379280,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5033","FIRE RELATED","Assist","Dispatched",27,"25-34","1","0",487969,276044349,"0","Black","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Cite and Release",275556380,"March","0000-0559",2021,867330,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5034","ACCIDENT - UNKNOWN INJURY","Collision","Dispatched",27,"25-34","0","0",409057,300956677,"0","Native American","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",300547620,"June","0000-0559",2020,1044050,"East Precinct","East Precinct",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5035","TRIMET INCIDENT - WITH WEAPON *H","TriMet","Dispatched",27,"25-34","1","0",455723,121003842,"1","Black","Male","Yes","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Thursday","Arrest-Felony",120548119,"August","0600-1159",2020,843230,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"5036","DISTURBANCE - PRIORITY","Disturbance","Dispatched",27,"25-34","1","0",1136371,472684223,"1","White","Male","Yes","Takedown (II and III)","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Friday","Cite and Release",471547852,"July","0600-1159",2020,972240,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5037","ECIT","Behavioral Health","Dispatched",27,"25-34","0","0",1877072,631423066,"1","White","Male","Yes","Resisted HC","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Tuesday","Release to Medical",629545994,"January","1200-1759",2020,227170,"North Precinct","North Precinct",13,"(10-15]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5038","DISTURBANCE - PRIORITY","Disturbance","Dispatched",27,"25-34","1","1",560285,589096228,"0","Hispanic","Male","No","Resisted HC","Control Against Resistance","Takedown (IV)","Hobble",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"IV","1","Wednesday","Arrest-Warrant",588535943,"January","1800-2359",2019,753920,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active","Active","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5039","PREMISE CHECK","Area/Premise Check","Dispatched",27,"25-34","1","0",484563,883021409,"0","White","Male","Yes","Resisted HC","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Warrant",882536846,"April","1200-1759",2019,805020,"East Precinct","East Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5040","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Self-Initiated",27,"25-34","1","0",1929808,637487942,"0","Black","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Friday","Arrest-Felony",635558134,"September","1200-1759",2021,191060,"Detectives","Other",13,"(10-15]","Active","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5041","UNWANTED PERSON","Unwanted Person","Dispatched",27,"25-34","0","1",3885276,969425303,"0","Asian","Female","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",965540027,"December","1800-2359",2019,745120,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5042","VEHICLE STOLEN - PRIORITY","Stolen Vehicle","Dispatched",27,"25-34","0","0",434102,638971406,"0","Black","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Warrant",638537304,"May","0600-1159",2019,749120,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5043","UNWANTED PERSON","Unwanted Person","Dispatched",28,"25-34","1","1",624961,937180668,"1","White","Male","Yes","Control Against Resistance","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Monday","Arrest-Misdemeanor",936555707,"January","0600-1159",2021,593300,"North Precinct","North Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5044","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",28,"25-34","1","0",518601,212075430,"1","White","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Thursday","Release to Medical",211556829,"April","1800-2359",2021,366981,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5045","DISTURBANCE - PRIORITY","Disturbance","Dispatched",28,"25-34","0","0",4145807,203693796,"0","White","Female","No","Resisted HC","Takedown (II and III)","Resisted HC","Takedown (II and III)",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"III","2","Friday","Arrest-Misdemeanor",199547989,"July","0600-1159",2020,950240,"East Precinct","East Precinct",13,"(10-15]","Active","Active","Active","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5046","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",28,"25-34","1","0",3632201,125169480,"1","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Release to Medical",121537279,"May","0600-1159",2019,1020040,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5047","RESTRAINING ORDER VIOLATION - COLD","Restraining Order Violation","Dispatched",28,"25-34","1","1",123828,302659878,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Detained and Released",302536050,"February","1800-2359",2019,542698,"Central Precinct","Central Precinct",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5048","SHOTS FIRED","Shots Fired","Self-Initiated",28,"25-34","0","0",511882,273051992,"0","Black","Male","No","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Saturday","Arrest-Misdemeanor",272540110,"December","1800-2359",2019,745120,"East Precinct","East Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5049","ACCIDENT - INJURY","Collision","Dispatched",29,"25-34","1","1",4191792,528748245,"0","Asian","Male","Yes","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Tuesday","Arrest-Felony",524556453,"March","1200-1759",2021,284070,"North Precinct","North Precinct",13,"(10-15]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5050","ASSAULT - PRIORITY","Assault","Dispatched",29,"25-34","1","0",391788,112940617,"0","White","Female","Yes","Control Against Resistance","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Saturday","Arrest-Misdemeanor",112548829,"October","1200-1759",2020,972240,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5051","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",30,"25-34","1","0",4066714,122605333,"0","Black","Male","No","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Tuesday","Arrest-Felony",118538619,"August","0600-1159",2019,715011,"North Precinct","North Precinct",13,"(10-15]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5052","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",30,"25-34","0","0",460638,453997900,"0","Black","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Misdemeanor",453537262,"May","1800-2359",2019,551100,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5053","WARRANT","Warrant","Self-Initiated",30,"25-34","0","0",500232,916038859,"0","White","Male","Yes","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Warrant",915538627,"August","1800-2359",2019,746120,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5054","DISTURBANCE - PRIORITY","Disturbance","Dispatched",30,"25-34","1","1",562410,458111272,"0","White","Male","No","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Wednesday","Release to Medical",457548862,"October","0000-0559",2020,948240,"North Precinct","North Precinct",13,"(10-15]","Aggressive","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5055","BURGLARY - PRIORITY *H","Burglary","Dispatched",30,"25-34","0","0",510591,34058649,"0","Black","Male","No","Aerosol rest.",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Felony",33548058,"July","1200-1759",2020,950240,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5056","RESTRAINING ORDER VIOLATION - PRIORITY","Restraining Order Violation","Dispatched",30,"25-34","0","0",361661,616907785,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Misdemeanor",616546124,"February","0600-1159",2020,557200,"East Precinct","East Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5057","PERSON CONTACT (86)","Subject Stop","Self-Initiated",30,"25-34","1","0",3928593,964474960,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Warrant",960546367,"February","0600-1159",2020,348180,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"5058","PERSON CONTACT (86)","Subject Stop","Self-Initiated",30,"25-34","1","0",3928593,964474960,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Warrant",960546367,"February","0600-1159",2020,843230,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1
"5059","UNWANTED PERSON","Unwanted Person","Dispatched",30,"25-34","1","0",602321,99150389,"0","White","Male","Yes","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Saturday","Arrest-Warrant",98548068,"August","1200-1759",2020,972240,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5060","SUSPICIOUS - WITH WEAPON *H","Suspicious","Dispatched",31,"25-34","0","0",4224531,935782898,"1","Black","Male","No","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Thursday","Arrest-Warrant",931558367,"September","1200-1759",2021,191060,"SERT","SERT",13,"(10-15]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,1,1
"5061","BURGLARY - PRIORITY *H","Burglary","Dispatched",31,"25-34","1","0",587293,723133148,"1","Black","Male","No","CEW","CEW",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"II","3","Thursday","Release to Medical",722545855,"January","1200-1759",2020,227170,"North Precinct","North Precinct",13,"(10-15]","Aggressive","Passive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5062","ECIT","Behavioral Health","Dispatched",31,"25-34","0","0",398702,619954516,"1","White","Male","No","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Friday","Release to Medical",619555814,"January","1200-1759",2021,972240,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Aggressive","Active",NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,2,1,1
"5063","ASSAULT - PRIORITY","Assault","Dispatched",31,"25-34","0","1",325815,440865727,"0","Black","Male","Yes","Strikes/kicks","Strikes/kicks","Strikes/kicks","Control Against Resistance","Strikes/kicks","Takedown (II and III)","Resisted HC",NA,1,1,1,1,1,1,1,0,7,"III","2","Wednesday","Arrest-Felony",440539912,"December","0000-0559",2019,746120,"East Precinct","East Precinct",13,"(10-15]","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","Aggressive","Active",NA,1,0,0,0,0,0,0,0,0,1,1,1
"5064","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",31,"25-34","1","0",3791015,23340383,"0","Black","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Warrant",19549368,"December","0600-1159",2020,843230,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5065","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",31,"25-34","0","0",584541,234132801,"0","White","Male","Yes","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Misdemeanor",233548260,"August","1800-2359",2020,976240,"Central Precinct","Central Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5066","VEHICLE STOLEN - COLD","Stolen Vehicle","Dispatched",31,"25-34","0","0",473450,425021712,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",424548262,"August","0600-1159",2020,379280,"East Precinct","East Precinct",13,"(10-15]","Passive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5067","UNWANTED PERSON","Unwanted Person","Dispatched",31,"25-34","1","0",515368,230061738,"0","Black","Male","No","Control Against Resistance","Takedown (IV)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Friday","Arrest-Felony",229546370,"February","1200-1759",2020,1062150,"North Precinct","North Precinct",13,"(10-15]","Aggressive","Active","Active",NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1
"5068","WELFARE CHECK - COLD","Welfare Check","Dispatched",32,"25-34","0","0",489027,289025737,"0","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Misdemeanor",288536710,"March","1200-1759",2019,789020,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,1,1
"5069","PERSON CONTACT (86)","Subject Stop","Dispatched",32,"25-34","1","0",614679,104152477,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Tuesday","Arrest-Felony",103537798,"June","1200-1759",2019,340880,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5070","VICE-DRUGS, LIQUOR, PROSTITUTION, GAMBLING","Vice","Self-Initiated",32,"25-34","1","0",3991946,517531549,"0","White","Female","Yes","Resisted HC","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Thursday","Arrest-Misdemeanor",513539603,"November","1200-1759",2019,439190,"Central Precinct","Central Precinct",13,"(10-15]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5071","DETAIL","Other","Self-Initiated",32,"25-34","0","0",484602,377023233,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Warrant",376538631,"August","0600-1159",2019,971440,"Transit (PPB Only)","Transit",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5072","DETAIL","Other","Self-Initiated",32,"25-34","0","0",484602,377023233,"0","Black","Male","No","Takedown (IV)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Wednesday","Arrest-Warrant",376538631,"August","0600-1159",2019,748120,"Transit (PPB Only)","Transit",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5073","UNWANTED PERSON","Unwanted Person","Dispatched",32,"25-34","1","1",251388,378787419,"0","Black","Male","Yes","Resisted HC","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Misdemeanor",378536031,"January","0600-1159",2019,805020,"East Precinct","East Precinct",13,"(10-15]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"5074","BURGLARY - PRIORITY *H","Burglary","Dispatched",33,"25-34","0","0",360348,962916435,"0","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Sunday","Cite and Release",962556087,"February","1200-1759",2021,284070,"North Precinct","North Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5075","WARRANT","Warrant","Self-Initiated",33,"25-34","1","0",336042,950884569,"0","Black","Male","No","PFA","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"II","3","Friday","Arrest-Warrant",950548527,"November","1200-1759",2020,379280,"East Precinct","East Precinct",13,"(10-15]","Passive","Aggressive","Aggressive","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"5076","UNWANTED PERSON","Unwanted Person","Dispatched",33,"25-34","0","0",558797,168116146,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Misdemeanor",167557349,"June","0600-1159",2021,193360,"Central Precinct","Central Precinct",13,"(10-15]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
